phi,delta,H,G
0.174,0.0,2.8139214348160966,0.3527561032699487
0.17400140624598073,1.8292281044867187e-07,2.809604827527453,0.3919922121806702
0.17400562208733475,7.578267424258165e-07,2.8051747367029005,0.4310949741439466
0.17401264309400297,1.7638146737929723e-06,2.800630903794965,0.4700630139729783
0.17402246471901645,3.239844104129904e-06,2.795973077217668,0.5088949561200877
0.17403508213357025,5.224189602328194e-06,2.791201023990134,0.5475894626092374
0.17405049050851623,7.755389566195484e-06,2.7863145096128314,0.5861451661412114
0.17406868501121112,1.0872207385799855e-05,2.781313298535105,0.6245606729125537
0.17408966068919163,1.4613240243547587e-05,2.7761971624709294,0.662834590254916
0.17411341247017434,1.9016919114183178e-05,2.7709658803989083,0.7009655266350571
0.17413993516205584,2.4121508764789302e-05,2.76561923856228,0.7389520916548442
0.1741692234529126,2.9965107754786863e-05,2.7601570304689123,0.7767928960512518
0.17420127191100102,3.658564843593498e-05,2.7545790568913024,0.8144865516963629
0.17423607498475743,4.402089695233095e-05,2.7488851258665803,0.8520316715973669
0.17427362700279808,5.230845324041025e-05,2.7430750526965046,0.8894268698965623
0.17431392217391917,6.148575102894663e-05,2.7371486599474673,0.9266707618713543
0.17435695458709677,7.159005783905203e-05,2.731105777450489,0.9637619639342564
0.17440271821148698,8.26584749841765e-05,2.724946242301223,1.0006990936328894
0.1744512068964257,9.472793757010844e-05,2.7186698988599525,1.0374807696499826
0.17450241437142888,0.00010783521449497429,2.712276598751591,1.0741056118033718
0.17455633424619232,0.0001220169084492389,2.705766200865684,1.1105722410460017
0.17461296001059176,0.00013730945591570515,2.6991385713564076,1.1468792794659244
0.17467228503468288,0.00015374912716951416,2.692393583642568,1.1830253502862988
0.17473430256870126,0.00017137202627814533,2.685531118407603,1.219009077865393
0.17479900574306248,0.00019021409110141622,2.678551063599581,1.2548290876965815
0.17486638756836195,0.0002103110932914825,2.6714533144312007,1.2904840064083483
0.17493644093537505,0.0002316986382928383,2.664237773379792,1.3259724617642827
0.17500915861505714,0.00025441216534231555,2.6569043501873177,1.3612930826630838
0.1750845332585434,0.00027848694746908473,2.6494529618603675,1.3964444991385567
0.175162557397149,0.0003039580914946546,2.6418835326701644,1.4314253423596162
0.1752432234423691,0.0003308605380328715,2.6341959941525634,1.4662342446302827
0.17532652368587862,0.00035922906148992093,2.6263902851080463,1.5008698393896862
0.17541245029953256,0.0003890982700643257,2.6184663516017292,1.5353307612120637
0.1755009953353658,0.00042050260574694745,2.61042414696336,1.5696156458067592
0.17559215072559314,0.0004534763443209856,2.602263631787313,1.6037231300182258
0.17568590828260927,0.0004880535953619781,2.593984773932597,1.6376518518260226
0.17578225969898886,0.0005242683022378008,2.5855875485228497,1.6714004503448179
0.17588119654748652,0.0005621542421086677,2.577071937946342,1.7049675658243875
0.1759827102810367,0.0006017450259271317,2.568437931855973,1.738351839649614
0.17608679222647172,0.0006430740699600016,2.559685527682202,1.7715519163615234
0.17619343258813383,0.0006861700945687603,2.550814811872088,1.8045667627975062
0.17630262185246545,0.0007310635021089044,2.541825845159728,1.8373952148380646
0.17641435117210919,0.0007777880346486885,2.5327186318645176,1.8700358607328773
0.1765286115796291,0.0008263771933686321,2.5234931842143,1.9024872954460845
0.17664539398751078,0.0008768642385615188,2.5141495223453734,1.9347481206562887
0.1767646891881614,0.0009292821896323982,2.504687674302485,1.9668169447565547
0.17688648785390956,0.000983663825098583,2.495107676038836,1.9986923828544072
0.17701078053700545,0.001040041682589652,2.4854095714160778,2.030373056771835
0.1771375576696207,0.0010984480588474468,2.4755934122043137,2.061857595045288
0.17726680956384852,0.0011589150097260756,2.465659258082099,2.093144632925676
0.17739852641170364,0.00122147435019191,2.45560717663644,2.124232812378374
0.17753269828512225,0.0012861576543235866,2.4454372433627953,2.155120782083216
0.1776693151359621,0.001352996255312007,2.4351495416650746,2.1858071974344995
